,ID,Title,Location,Estado,Company,Salary,Synopsis,Description,Post_Date,Accessed_Date,English,Skills,Academy_grade,Years_Experience,SoftSkill,Full Description,Skill_datos,Roles_datos,Areas_datos
0,0,Technical Product Management,"Toluca, Méx.",Méx,HSBC,,The Technical Product Management job is accountable for enabling the technical development and run-time operation of products and services within a Product…,"Technical Product Management
Role Purpose. The Technical Product Management job is accountable for enabling the technical development and run-time operation of products and services within a Product Group or a set of development teams (Cards, Debit, CCS, Leap & Fraud)
Main activities:
Work with Product Owners and DevOps teams, and responsible for the delivery, on-going success & continuous improvement of a discrete set of products or business services, or shared products/platforms/environments that are used/consumed by other DevOps Teams.
Accountable with the Head of Architecture <Product> / Product lead to review requirements from a testability perspective and formulate the non-functional testing strategy.
Accountable together with Security Specialists or Product owner to formulate the security testing strategy.
Accountable for ensuring compliance of the products and services with mandatory and regulatory requirements, control objectives in the risk and control framework and technical currency (in line with published standards and guidelines) and, with the architecture function, implementation of the business imperatives.
Accountable for ensuring that all activities performed by teams adhere to the relevant prevailing data standards and data controls.
Work with the product owner to ensure that work is de-constructed and translated into development activities across teams.
Accountable for the creation and management of epics, backlog management and prioritisation across teams and for conformance to the IT operating model with regards to agile and Technology Practices.
Accountable for ensuring that all activities performed by Teams adhere to the relevant Service Management Standards, and high data quality exists in Service Management systems of record.
Work with product owner & team to ensure that the lead time to deploy changes is continuously improving and benchmarks appropriately across other functions within the DevOps team.
Work with product owner & team to ensure that high levels of automation are implemented and maintained across the teams.
Work with product owner & team to ensure that service levels are maintained and improved.
Ensure the cost base for the products and services is managed in line with controls applied by the Head of <Product> Technology and associated Chief Information Officer (CIO) function.
Participate as part of the DevOps leadership team in ensuring consistent process and practice is maintained across the DevOps team.
Accountable for ensuring that test strategies across DevOps activities are in place across teams for the products they support
Ensure that the product test strategy includes Test automation, Test Data and Environments – including virtual services.
Establish a digital environment and automate processes to minimize variation and ensure predictable high quality code and data.
Keep up to date and have expertise on current tools, technologies and areas like cyber security and regulations pertaining to aspects like data privacy, consent, data residency etc. that are applicable
Ensure service resilience, service sustainability and recovery time objectives are met for all the software solutions delivered.
Requirements
Requirements
Keep updated the tooling and knowledge (languages, solutions, tools) used in accordance with global strategies and decisions.
Monitoring and identification of improvements in Data Quality and Data Analytics processes and transactions
Responsible for the automation of the continuous integration or supply development work lines of a product or service development operations team to foster a culture of continuous improvement.
Increase the number of CDEs evaluated for data quality and improve / increase the quality rules applied to them.
Generate information analysis that is aligned to data priorities
Keep the documents related to the Data Analytics framework updated.
Apply internal customer satisfaction surveys.
Ensure compliance with all applicable controls and regulations, including the relevant service management standard. Ensuring the presence of high-quality data in the registry's service management systems
Ensure compliance with service resilience, service sustainability, and recovery time objectives for all solutions provided.
Stay up-to-date and develop expert-level knowledge in current tools, technologies and relevant areas, such as Machine Learning, and on regulations on aspects such as data privacy, consent, data residency and other related topics. .
Technical requirements:
Knowledge: IT engineering carer
Experience: 3 years on the role or similar roles of leadership.
Capabilities: High values and engagement, work under stress, conflict manager, resilience, self-motivation.
Qualifications and Accreditations: Agile, Safe, Leadership,
HSBC is committed to building a culture where all employees are valued, respected and where their opinions count. We want to build a culture where our employees are comfortable in bringing their whole self to work, regardless of gender, age, sexuality, ethnicity, disability, religious belief, background, and any other aspect of personal difference. At HSBC we are oriented towards guaranteeing gender equality and constant training for our employees as well as the protection of their labor and social rights.
We want you to be part of our team. Know what is like to work with us: https://youtu.be/zjrWwmYbXqo",Postedhace 2 días,2022-04-22,,"git
agile
Agile",,3 years,"Analitical, Continuously learn, Leadership","The Technical Product Management job is accountable for enabling the technical development and run-time operation of products and services within a Product… Technical Product Management
Role Purpose. The Technical Product Management job is accountable for enabling the technical development and run-time operation of products and services within a Product Group or a set of development teams (Cards, Debit, CCS, Leap & Fraud)
Main activities:
Work with Product Owners and DevOps teams, and responsible for the delivery, on-going success & continuous improvement of a discrete set of products or business services, or shared products/platforms/environments that are used/consumed by other DevOps Teams.
Accountable with the Head of Architecture <Product> / Product lead to review requirements from a testability perspective and formulate the non-functional testing strategy.
Accountable together with Security Specialists or Product owner to formulate the security testing strategy.
Accountable for ensuring compliance of the products and services with mandatory and regulatory requirements, control objectives in the risk and control framework and technical currency (in line with published standards and guidelines) and, with the architecture function, implementation of the business imperatives.
Accountable for ensuring that all activities performed by teams adhere to the relevant prevailing data standards and data controls.
Work with the product owner to ensure that work is de-constructed and translated into development activities across teams.
Accountable for the creation and management of epics, backlog management and prioritisation across teams and for conformance to the IT operating model with regards to agile and Technology Practices.
Accountable for ensuring that all activities performed by Teams adhere to the relevant Service Management Standards, and high data quality exists in Service Management systems of record.
Work with product owner & team to ensure that the lead time to deploy changes is continuously improving and benchmarks appropriately across other functions within the DevOps team.
Work with product owner & team to ensure that high levels of automation are implemented and maintained across the teams.
Work with product owner & team to ensure that service levels are maintained and improved.
Ensure the cost base for the products and services is managed in line with controls applied by the Head of <Product> Technology and associated Chief Information Officer (CIO) function.
Participate as part of the DevOps leadership team in ensuring consistent process and practice is maintained across the DevOps team.
Accountable for ensuring that test strategies across DevOps activities are in place across teams for the products they support
Ensure that the product test strategy includes Test automation, Test Data and Environments – including virtual services.
Establish a digital environment and automate processes to minimize variation and ensure predictable high quality code and data.
Keep up to date and have expertise on current tools, technologies and areas like cyber security and regulations pertaining to aspects like data privacy, consent, data residency etc. that are applicable
Ensure service resilience, service sustainability and recovery time objectives are met for all the software solutions delivered.
Requirements
Requirements
Keep updated the tooling and knowledge (languages, solutions, tools) used in accordance with global strategies and decisions.
Monitoring and identification of improvements in Data Quality and Data Analytics processes and transactions
Responsible for the automation of the continuous integration or supply development work lines of a product or service development operations team to foster a culture of continuous improvement.
Increase the number of CDEs evaluated for data quality and improve / increase the quality rules applied to them.
Generate information analysis that is aligned to data priorities
Keep the documents related to the Data Analytics framework updated.
Apply internal customer satisfaction surveys.
Ensure compliance with all applicable controls and regulations, including the relevant service management standard. Ensuring the presence of high-quality data in the registry's service management systems
Ensure compliance with service resilience, service sustainability, and recovery time objectives for all solutions provided.
Stay up-to-date and develop expert-level knowledge in current tools, technologies and relevant areas, such as Machine Learning, and on regulations on aspects such as data privacy, consent, data residency and other related topics. .
Technical requirements:
Knowledge: IT engineering carer
Experience: 3 years on the role or similar roles of leadership.
Capabilities: High values and engagement, work under stress, conflict manager, resilience, self-motivation.
Qualifications and Accreditations: Agile, Safe, Leadership,
HSBC is committed to building a culture where all employees are valued, respected and where their opinions count. We want to build a culture where our employees are comfortable in bringing their whole self to work, regardless of gender, age, sexuality, ethnicity, disability, religious belief, background, and any other aspect of personal difference. At HSBC we are oriented towards guaranteeing gender equality and constant training for our employees as well as the protection of their labor and social rights.
We want you to be part of our team. Know what is like to work with us: https://youtu.be/zjrWwmYbXqo",Machine learning,,
1,1,AI Solution Architect,"Monterrey, N. L.",Nuevo León,MAHLE,,"Conversational AI (Chat Bots, NLP, NLU, ... with Cognigy).Data / Process Mining (with Celonis).Defines standards and guidelines which (s)he ensures that they…",,Postedhace 23 días,2022-04-22,,,,,,"Conversational AI (Chat Bots, NLP, NLU, ... with Cognigy).Data / Process Mining (with Celonis).Defines standards and guidelines which (s)he ensures that they… ",NLP,,Artificial intelligence
2,2,SENIOR NLP ENGINEER,Remoto,Remoto,Svitla Systems,,You will work closely with the engineering team to ensure the data science and machine learning pipelines are performant in production.,,Postedhace 30+ días,2022-04-22,,,,,,You will work closely with the engineering team to ensure the data science and machine learning pipelines are performant in production. ,Machine learning,Engineer,
3,3,ML Business Analyst,"Monterrey, N. L.",Nuevo León,DigitalOnUs by Tech Mahindra,,"8+ years of experience with performing business analysis, including aspects of business process and requirements elicitation and documentation.",,Postedhace 30+ días,2022-04-22,,,,,,"8+ years of experience with performing business analysis, including aspects of business process and requirements elicitation and documentation. ",,Analyst,
4,4,Data Scientist,Ciudad de México,Ciudad de México,PepsiCo,,Experience with distributed machine learning is a plus.Create documentation for learnings and knowledge transfer.Refine requirements into modelling problems.,,Postedhace 30 días,2022-04-22,,,,,,Experience with distributed machine learning is a plus.Create documentation for learnings and knowledge transfer.Refine requirements into modelling problems. ,Machine learning,Scientist,
5,5,IT Talent Attraction Specialist,"Monterrey, N. L.",Nuevo León,Aliato,,"Graduated from Administration, Organizational Psychology and / or Industrial Relations.3 years experience in attracting talent, technology profiles.",,Postedhace 30+ días,2022-04-22,,,,,,"Graduated from Administration, Organizational Psychology and / or Industrial Relations.3 years experience in attracting talent, technology profiles. ",,Specialist,
6,6,Data Scientist/ML Engineer,"Guadalajara, Jal.",Jalisco,DigitalOnUs by Tech Mahindra,,Build predictive models and machine-learning algorithms.Experience in Python for data analysis and machine learning.,,Postedhace 30+ días,2022-04-22,,,,,,Build predictive models and machine-learning algorithms.Experience in Python for data analysis and machine learning. ,"Python, Machine learning","Scientist, Engineer",
7,7,Procurement Operations,"11000, Colonia Lomas de Chapultepec, CDMX","Colonia Lomas de Chapultepec, CDMX",SoftwareONE,,"The Associate Modern Operations GSDC Mexico will in his role assist SoftwareOne’s Local Operations and Sales Teams with creating and maintaining contracts,…","Job Function: Global Service Delivery Centre Operations Why SoftwareONE?:

Today SoftwareONE is a global leader in software and cloud portfolio management and is modernizing the way organizations budget and optimize their global IT spend from on-premises to the cloud.
Our 5,000 technology experts located across 80+ countries work on over a 1,000 Technology Projects globally. We provide customers with the right advice on their Technology Roadmap towards the cloud or optimizing the Business-outcome of a cloud-based landscape. With our PyraCloud platform, applying machine learning, delivering the visibility, insight, automation and control customers demand to maximize their software investments.
In tandem, our Software Lifecycle Management (SLM) services provide the methodology and framework to optimize the underlying IT infrastructure, accelerate cloud adoption and minimize compliance risk.

With our dynamic leadership and driven business strategy SoftwareONE is one of the fastest growing technology solution providers in the world with elite partnerships with Microsoft, AWS, Adobe, IBM, VMware, Oracle, Citrix, Red Hat, Trend Micro and many more.

The role:

The Associate Modern Operations GSDC Mexico will in his role assist SoftwareOne’s Local Operations and Sales Teams with creating and maintaining contracts, providing data from the Microsoft site that can be used for new opportunities, process orders and submit requests to the Microsoft Regional Operations Centers. The team will be the gateway between SoftwareONE’s subsidiaries and the Microsoft ROCs. The Operations Specialist will work in a team that is involved in a wide variety of tasks that will help grow the business and focus on efficiency, accuracy and speed of processing. The focus is global, with direct reporting to the Operations Team Leader at GSDC and close collaboration with the Global Service Owner. The Operations Specialists Team is one of the growing units in SoftwareOne’s Global Service Delivery Center and currently looking for motivated and experienced employees to take the next step in its development as operational backbone for SoftwareOne’s strategy and vision towards Software Portfolio Management.
Escalation Management & root cause analysis skill.
Good customer interaction experience.
Assist the local subsidiaries with the setup of new agreements through the Microsoft eAgreements tool
Follow up on signing and activating of new agreements
Mirroring of newly activated Contracts in our ERP system
Data Management to reflect actual performance and price levels
Order creating and submission through the Microsoft Order tools
Following up on open orders, reconciliations of license reservations
Assist with changes on the customer portal
Clean up and standardization of contract cards across the region, according to program rules and status
Download of explore.ms data that will enable the business to analyze performance and act on opportunities
Assist in the sharing of the above data on the regional SharePoint Portals
Preparation and submission of contract related paperwork to the different ROCs

What we need to see from you:
Excellent communication, organization, multitasking, and time management skills
Excellent Excel Skills including use of pivot tables
Solid problem solving, consultative and research skills
Experience in sales, SAM and business related activities in software industry would be an added advantage
Should have working experience Microsoft Tools (MOET, POET, eAgreement, explore etc.)
Experience with Navision is an advantage
Should have working experience with LARs and software distributors.
Bachelor's degree.
Microsoft licensing knowledge & certification will be added advantage.
Excellent English written & verbal Skills
3-6 years professional experience in software industry
Must be a team player and able to work with and through others.
#LI-AS2

What you should really know about us.:

Strip away everything. Strip away our brand, strip away our buildings, strip away our offices. What are we left with? Our people. This is what makes SoftwareONE successful.

Passionate people who live and breathe our values every day, who delight our customers, every day, and who go above and beyond, every day. Our culture is unique, and I believe that having the right people, and empowering them to succeed, is the absolute key to our success.
Patrick Winter, Founder.
What we expect from our employees:

Success at SoftwareONE is not defined by what you do for yourself, but by what you deliver for our customers, the business and for the employees around you. SoftwareONE employees are energized, agile, and are laser-focused on delivering world-class Customer Satisfaction and results. Our leaders motivate and inspire their teams and provide a working environment that delivers incredible levels of Employee Satisfaction. We are Humble, have a very high degree of Integrity, and are simply not interested in politics. Our leaders operate with a high level of Discipline but are able to work at Speed manage change in a global economy.
“SoftwareONE is an equal opportunity employer. With employee satisfaction as one of our core values, we are passionate about diversity and are committed to creating an inclusive environment for all of our employees. We want every employee to have the greatest experience of their career.”",Postedhace 30+ días,2022-04-22,English,"agile
AWS",Bachelor,3-6 years,"Collaborate, Comunication skills, Continuously learn, Efficiency, Involved, Leadership, Motivated, Organization, Problem solving, Team Player, Written and oral communication","The Associate Modern Operations GSDC Mexico will in his role assist SoftwareOne’s Local Operations and Sales Teams with creating and maintaining contracts,… Job Function: Global Service Delivery Centre Operations Why SoftwareONE?:

Today SoftwareONE is a global leader in software and cloud portfolio management and is modernizing the way organizations budget and optimize their global IT spend from on-premises to the cloud.
Our 5,000 technology experts located across 80+ countries work on over a 1,000 Technology Projects globally. We provide customers with the right advice on their Technology Roadmap towards the cloud or optimizing the Business-outcome of a cloud-based landscape. With our PyraCloud platform, applying machine learning, delivering the visibility, insight, automation and control customers demand to maximize their software investments.
In tandem, our Software Lifecycle Management (SLM) services provide the methodology and framework to optimize the underlying IT infrastructure, accelerate cloud adoption and minimize compliance risk.

With our dynamic leadership and driven business strategy SoftwareONE is one of the fastest growing technology solution providers in the world with elite partnerships with Microsoft, AWS, Adobe, IBM, VMware, Oracle, Citrix, Red Hat, Trend Micro and many more.

The role:

The Associate Modern Operations GSDC Mexico will in his role assist SoftwareOne’s Local Operations and Sales Teams with creating and maintaining contracts, providing data from the Microsoft site that can be used for new opportunities, process orders and submit requests to the Microsoft Regional Operations Centers. The team will be the gateway between SoftwareONE’s subsidiaries and the Microsoft ROCs. The Operations Specialist will work in a team that is involved in a wide variety of tasks that will help grow the business and focus on efficiency, accuracy and speed of processing. The focus is global, with direct reporting to the Operations Team Leader at GSDC and close collaboration with the Global Service Owner. The Operations Specialists Team is one of the growing units in SoftwareOne’s Global Service Delivery Center and currently looking for motivated and experienced employees to take the next step in its development as operational backbone for SoftwareOne’s strategy and vision towards Software Portfolio Management.
Escalation Management & root cause analysis skill.
Good customer interaction experience.
Assist the local subsidiaries with the setup of new agreements through the Microsoft eAgreements tool
Follow up on signing and activating of new agreements
Mirroring of newly activated Contracts in our ERP system
Data Management to reflect actual performance and price levels
Order creating and submission through the Microsoft Order tools
Following up on open orders, reconciliations of license reservations
Assist with changes on the customer portal
Clean up and standardization of contract cards across the region, according to program rules and status
Download of explore.ms data that will enable the business to analyze performance and act on opportunities
Assist in the sharing of the above data on the regional SharePoint Portals
Preparation and submission of contract related paperwork to the different ROCs

What we need to see from you:
Excellent communication, organization, multitasking, and time management skills
Excellent Excel Skills including use of pivot tables
Solid problem solving, consultative and research skills
Experience in sales, SAM and business related activities in software industry would be an added advantage
Should have working experience Microsoft Tools (MOET, POET, eAgreement, explore etc.)
Experience with Navision is an advantage
Should have working experience with LARs and software distributors.
Bachelor's degree.
Microsoft licensing knowledge & certification will be added advantage.
Excellent English written & verbal Skills
3-6 years professional experience in software industry
Must be a team player and able to work with and through others.
#LI-AS2

What you should really know about us.:

Strip away everything. Strip away our brand, strip away our buildings, strip away our offices. What are we left with? Our people. This is what makes SoftwareONE successful.

Passionate people who live and breathe our values every day, who delight our customers, every day, and who go above and beyond, every day. Our culture is unique, and I believe that having the right people, and empowering them to succeed, is the absolute key to our success.
Patrick Winter, Founder.
What we expect from our employees:

Success at SoftwareONE is not defined by what you do for yourself, but by what you deliver for our customers, the business and for the employees around you. SoftwareONE employees are energized, agile, and are laser-focused on delivering world-class Customer Satisfaction and results. Our leaders motivate and inspire their teams and provide a working environment that delivers incredible levels of Employee Satisfaction. We are Humble, have a very high degree of Integrity, and are simply not interested in politics. Our leaders operate with a high level of Discipline but are able to work at Speed manage change in a global economy.
“SoftwareONE is an equal opportunity employer. With employee satisfaction as one of our core values, we are passionate about diversity and are committed to creating an inclusive environment for all of our employees. We want every employee to have the greatest experience of their career.”",Machine learning,,
8,8,Solution Architect,Ciudad de México,Ciudad de México,Microsoft,,Delegates and leverages specialist skills of others to drive technical alignment across internal/external teams.6+ years technical sales experience.,,Postedhace 2 días,2022-04-22,,,,,,Delegates and leverages specialist skills of others to drive technical alignment across internal/external teams.6+ years technical sales experience. ,,,
9,9,HR Location Specialist - Recruitment -Training,"Tlalnepantla, Méx.",Méx,Continental AG,,"The products, systems and solutions developed by ContiTech are used both in the automotive industry as well as in railway engineering, machine and plant…",,Postedhace 28 días,2022-04-22,,,,,,"The products, systems and solutions developed by ContiTech are used both in the automotive industry as well as in railway engineering, machine and plant… ",,Specialist,
10,10,General IT Applications Development-P40 - IT North America,Ciudad de México,Ciudad de México,Nestle,,"Provides deep specialist guidance and support in their specific specialties (e.g. artificial intelligence, robotic process automation, machine learning, etc.,…",,Postedhace 25 días,2022-04-22,,,,,,"Provides deep specialist guidance and support in their specific specialties (e.g. artificial intelligence, robotic process automation, machine learning, etc.,… ",Machine learning,,
11,11,Senior Database Specialist Solutions Architect,Ciudad de México,Ciudad de México,Amazon Kuiper Mexico S.de R.L.,,"The successful candidate will become a trusted advisor to our customers and will partner with AWS specialist sales, business development, and product teams to…",,Postedhace 30+ días,2022-04-22,,,,,,"The successful candidate will become a trusted advisor to our customers and will partner with AWS specialist sales, business development, and product teams to… ",,Specialist,
12,12,Business Intelligence Analyst,"Guadalajara, Jal.",Jalisco,Oracle,,Hiring better employees creates long-term competitive advantages that lead to increased customer satisfaction and revenue growth.,"Business Intelligence Analyst-220000SU

Applicants are required to read, write, and speak the following languages: English

Detailed Description and Job Requirements

Business Intelligence Analyst

We are looking for data enthusiasts who are passionate about data analytics, data models, data visualization, join us to support the Global Talent Acquisition organization.
Hiring better employees creates long-term competitive advantages that lead to increased customer satisfaction and revenue growth. Oracle Talent Acquisition team helps organizations reach hard-to-find talent, hire the right people, and get them productive more quickly. Modern recruiting is becoming increasingly challenging, requiring companies to work harder to seek out and identify the best talent while staying on top of the complexity of their own internal hiring process. The Talent Specialist manage end to end of the overall hiring lifecycle –from the sourcing of active and passive candidates across a variety of websites, job boards, referrals, and social media, Screen & qualify the identified candidates, manage interviews and who are then put through the interview & offer management and on boarding of the candidate.
The candidate hired for this role will be working with Regional Leadership team supporting end to end data analytics and reporting needs, understand their business and provide valuable insights to drive the business and strategies.
Job responsibilities include
Collaborate with the various stake holders in the Talent acquisition organization understanding the business requirements and objectives
Review, process, validate the integrity of data used for analysis
Work with all candidate/ employee database by using scientific methods, processes, systems to extract knowledge and insights from many structured and unstructured data
Able to create and design interactive dashboards
Build a comprehensive framework on Predictive modelling techniques and be able to present the data insights using data visualization
Make strategic recommendations based on the data analysis and models built to the leadership team and tell the story using data visualization.
Skills & Competencies:
Analytical & statistical skills
Knowledge of analytical tools – R, SAS, Hadoop etc
Knowledge of Business Intelligence tools – Oracle BI, Tableau, Microsoft Power BI etc
Knowledge of Programming languages – Python, SQL etc
Data modelling
Machine Learning, AI experience (plus)
Knowledge of HCM (preferred)
Strong Business Acumen and communication skills
Strong Data Intuition
Proven experience with client and customer engagement


Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.

